2024-10-03 00:51:56 [INFO] - Application Started
2024-10-03 00:51:56 [INFO] - Running 'test' subcommand
2024-10-03 00:51:56 [INFO] - Verbose: yes
2024-10-03 00:51:56 [INFO] - Starting tests...
2024-10-03 00:51:57 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.30s
2024-10-03 00:51:58 [INFO] - Test 2 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_form_expr in 1.25s
2024-10-03 00:52:00 [INFO] - Test 3 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_used_twice_form_expr in 1.35s
2024-10-03 00:52:01 [INFO] - Test 4 | PASSED | PASSED: break_from_nested_and_outer_loops in 1.36s
2024-10-03 00:52:02 [INFO] - Test 5 | PASSED | PASSED: break_from_nested_loop in 1.35s
2024-10-03 00:52:05 [INFO] - Test 6 | PASSED | FAILED: break_loop in 2.71s
2024-10-03 00:52:07 [INFO] - Test 7 | PASSED | FAILED: break_loop_nested in 1.47s
2024-10-03 00:52:08 [INFO] - Test 8 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: break_loop_nested_labeled in 1.35s
2024-10-03 00:52:10 [INFO] - Test 9 | PASSED | FAILED: break_loop_with_if in 1.52s
2024-10-03 00:52:12 [INFO] - Test 10 | PASSED | PASSED: break_stmt in 1.57s
2024-10-03 00:52:13 [INFO] - Test 11 | PASSED | PASSED: break_with_value in 1.25s
2024-10-03 00:52:14 [INFO] - Test 12 | PASSED | PASSED: break_with_value_and_label in 1.21s
2024-10-03 00:52:16 [INFO] - Test 13 | PASSED | FAILED: break_with_value_and_return in 1.44s
2024-10-03 00:52:17 [INFO] - Test 14 | PASSED | FAILED: closure_arguments in 1.25s
2024-10-03 00:52:18 [INFO] - Test 15 | PASSED | FAILED: comments_in_block_expr in 1.19s
2024-10-03 00:52:19 [INFO] - Test 16 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 58..71, source_change: None, command: None }] | N/A: continue_loop_nested_labeled in 1.19s
2024-10-03 00:52:21 [INFO] - Test 17 | PASSED | FAILED: copy_custom_used_after in 1.25s
2024-10-03 00:52:22 [INFO] - Test 18 | PASSED | FAILED: copy_used_after in 1.28s
2024-10-03 00:52:23 [INFO] - Test 19 | PASSED | PASSED: does_not_add_extra_whitespace in 1.17s
2024-10-03 00:52:25 [INFO] - Test 20 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 26..43, source_change: None, command: None }] | N/A: does_not_import_control_flow in 1.31s
2024-10-03 00:52:26 [INFO] - Test 21 | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 1.32s
2024-10-03 00:52:27 [INFO] - Test 22 | PASSED | FAILED: empty_generic_param_list in 1.23s
2024-10-03 00:52:28 [INFO] - Test 23 | PASSED | PASSED: extract_cast in 1.22s
2024-10-03 00:52:30 [INFO] - Test 24 | PASSED | PASSED: extract_does_not_tear_body_apart in 1.27s
2024-10-03 00:52:31 [INFO] - Test 25 | PASSED | PASSED: extract_does_not_tear_comments_apart in 1.26s
2024-10-03 00:52:32 [INFO] - Test 26 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 35..61, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 60..97, source_change: None, command: None }] | N/A: extract_does_not_wrap_res_in_res in 1.14s
