2024-10-03 00:45:19 [INFO] - Application Started
2024-10-03 00:45:19 [INFO] - Running 'test' subcommand
2024-10-03 00:45:19 [INFO] - Verbose: yes
2024-10-03 00:45:19 [INFO] - Starting tests...
2024-10-03 00:45:20 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.30s
2024-10-03 00:45:22 [INFO] - Test 2 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_form_expr in 1.32s
2024-10-03 00:45:23 [INFO] - Test 3 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_used_twice_form_expr in 1.24s
2024-10-03 00:45:24 [INFO] - Test 4 | PASSED | PASSED: break_from_nested_and_outer_loops in 1.39s
2024-10-03 00:45:26 [INFO] - Test 5 | PASSED | PASSED: break_from_nested_loop in 1.34s
2024-10-03 00:45:27 [INFO] - Test 6 | PASSED | FAILED: break_loop in 1.22s
2024-10-03 00:45:28 [INFO] - Test 7 | PASSED | FAILED: break_loop_nested in 1.38s
2024-10-03 00:45:30 [INFO] - Test 8 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: break_loop_nested_labeled in 1.22s
2024-10-03 00:45:31 [INFO] - Test 9 | PASSED | FAILED: break_loop_with_if in 1.23s
2024-10-03 00:45:32 [INFO] - Test 10 | PASSED | PASSED: break_stmt in 1.29s
2024-10-03 00:45:33 [INFO] - Test 11 | PASSED | PASSED: break_with_value in 1.26s
2024-10-03 00:45:35 [INFO] - Test 12 | PASSED | PASSED: break_with_value_and_label in 1.22s
2024-10-03 00:45:36 [INFO] - Test 13 | PASSED | FAILED: break_with_value_and_return in 1.32s
2024-10-03 00:45:37 [INFO] - Test 14 | PASSED | FAILED: closure_arguments in 1.22s
2024-10-03 00:45:38 [INFO] - Test 15 | PASSED | FAILED: comments_in_block_expr in 1.24s
2024-10-03 00:45:40 [INFO] - Test 16 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 58..71, source_change: None, command: None }] | N/A: continue_loop_nested_labeled in 1.24s
