2024-10-02 23:31:13 [INFO] - Application Started
2024-10-02 23:31:13 [INFO] - Running 'test' subcommand
2024-10-02 23:31:13 [INFO] - Verbose: yes
2024-10-02 23:31:13 [INFO] - Starting tests...
2024-10-02 23:31:14 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.32s
2024-10-02 23:31:16 [INFO] - Test 2 | PASSED | PASSED: argument_form_expr in 1.89s
2024-10-02 23:31:18 [INFO] - Test 3 | PASSED | PASSED: argument_used_twice_form_expr in 1.87s
2024-10-02 23:31:20 [INFO] - Test 4 | PASSED | PASSED: break_from_nested_and_outer_loops in 1.99s
2024-10-02 23:31:22 [INFO] - Test 5 | PASSED | PASSED: break_from_nested_loop in 1.73s
2024-10-02 23:31:24 [INFO] - Test 6 | PASSED | PASSED: break_loop in 1.54s
2024-10-02 23:31:25 [INFO] - Test 7 | PASSED | FAILED: break_loop_nested in 1.47s
2024-10-02 23:31:26 [INFO] - Test 8 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: break_loop_nested_labeled in 1.37s
2024-10-02 23:31:28 [INFO] - Test 9 | PASSED | FAILED: break_loop_with_if in 1.19s
2024-10-02 23:31:29 [INFO] - Test 10 | PASSED | PASSED: break_stmt in 1.24s
2024-10-02 23:31:30 [INFO] - Test 11 | PASSED | PASSED: break_with_value in 1.22s
2024-10-02 23:31:31 [INFO] - Test 12 | PASSED | PASSED: break_with_value_and_label in 1.26s
2024-10-02 23:31:33 [INFO] - Test 13 | PASSED | FAILED: break_with_value_and_return in 1.23s
2024-10-02 23:31:34 [INFO] - Test 14 | PASSED | FAILED: closure_arguments in 1.19s
2024-10-02 23:31:35 [INFO] - Test 15 | PASSED | FAILED: comments_in_block_expr in 1.36s
2024-10-02 23:31:37 [INFO] - Test 16 | PASSED | FAILED: continue_loop_nested_labeled in 1.35s
2024-10-02 23:31:38 [INFO] - Test 17 | PASSED | FAILED: copy_custom_used_after in 1.22s
2024-10-02 23:31:39 [INFO] - Test 18 | PASSED | FAILED: copy_used_after in 1.32s
2024-10-02 23:31:40 [INFO] - Test 19 | PASSED | PASSED: does_not_add_extra_whitespace in 1.29s
2024-10-02 23:31:42 [INFO] - Test 20 | PASSED | PASSED: does_not_import_control_flow in 1.31s
2024-10-02 23:31:43 [INFO] - Test 21 | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 1.25s
2024-10-02 23:31:44 [INFO] - Test 22 | PASSED | FAILED: empty_generic_param_list in 1.23s
2024-10-02 23:31:46 [INFO] - Test 23 | PASSED | PASSED: extract_cast in 1.25s
2024-10-02 23:31:47 [INFO] - Test 24 | PASSED | PASSED: extract_does_not_tear_body_apart in 1.22s
2024-10-02 23:31:48 [INFO] - Test 25 | PASSED | PASSED: extract_does_not_tear_comments_apart in 1.29s
2024-10-02 23:31:49 [INFO] - Test 26 | PASSED | FAILED: extract_does_not_wrap_res_in_res in 1.21s
2024-10-02 23:31:50 [INFO] - Test 27 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 67..71, source_change: None, command: None }] | N/A: extract_from_nested in 1.22s
2024-10-02 23:31:52 [INFO] - Test 28 | PASSED | PASSED: extract_function_copies_comment_at_end in 1.50s
2024-10-02 23:31:54 [INFO] - Test 29 | PASSED | PASSED: extract_function_copies_comment_at_start in 2.33s
2024-10-02 23:31:57 [INFO] - Test 30 | PASSED | FAILED: extract_function_copies_comment_in_between in 2.38s
2024-10-02 23:31:59 [INFO] - Test 31 | PASSED | PASSED: extract_function_copies_comment_indented in 2.15s
2024-10-02 23:32:00 [INFO] - Test 32 | PASSED | PASSED: extract_function_does_preserve_whitespace in 1.46s
2024-10-02 23:32:02 [INFO] - Test 33 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_function_from_trait_with_existing_non_empty_impl_block in 1.91s
2024-10-02 23:32:04 [INFO] - Test 34 | PASSED | PASSED: extract_function_long_form_comment in 1.71s
2024-10-02 23:32:05 [INFO] - Test 35 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_method_from_trait_impl in 1.38s
2024-10-02 23:32:07 [INFO] - Test 36 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 166..176, source_change: None, command: None }] | N/A: extract_method_from_trait_with_existing_non_empty_impl_block in 1.29s
2024-10-02 23:32:08 [INFO] - Test 37 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 301..311, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 280..291, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_impl_blocks in 1.23s
