2024-10-03 00:49:31 [INFO] - Application Started
2024-10-03 00:49:31 [INFO] - Running 'test' subcommand
2024-10-03 00:49:31 [INFO] - Verbose: yes
2024-10-03 00:49:31 [INFO] - Starting tests...
2024-10-03 00:49:32 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.29s
2024-10-03 00:49:33 [INFO] - Test 2 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_form_expr in 1.20s
2024-10-03 00:49:35 [INFO] - Test 3 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_used_twice_form_expr in 1.21s
2024-10-03 00:49:36 [INFO] - Test 4 | PASSED | PASSED: break_from_nested_and_outer_loops in 1.17s
2024-10-03 00:49:37 [INFO] - Test 5 | PASSED | PASSED: break_from_nested_loop in 1.32s
2024-10-03 00:49:38 [INFO] - Test 6 | PASSED | FAILED: break_loop in 1.33s
2024-10-03 00:49:40 [INFO] - Test 7 | PASSED | FAILED: break_loop_nested in 1.29s
2024-10-03 00:49:41 [INFO] - Test 8 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: break_loop_nested_labeled in 1.24s
2024-10-03 00:49:42 [INFO] - Test 9 | PASSED | FAILED: break_loop_with_if in 1.29s
2024-10-03 00:49:45 [INFO] - Test 10 | PASSED | PASSED: break_stmt in 2.22s
2024-10-03 00:49:47 [INFO] - Test 11 | PASSED | PASSED: break_with_value in 2.54s
2024-10-03 00:49:49 [INFO] - Test 12 | PASSED | PASSED: break_with_value_and_label in 2.42s
2024-10-03 00:49:51 [INFO] - Test 13 | PASSED | FAILED: break_with_value_and_return in 1.38s
2024-10-03 00:49:53 [INFO] - Test 14 | PASSED | FAILED: closure_arguments in 2.35s
2024-10-03 00:49:56 [INFO] - Test 15 | PASSED | FAILED: comments_in_block_expr in 2.13s
2024-10-03 00:49:58 [INFO] - Test 16 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 58..71, source_change: None, command: None }] | N/A: continue_loop_nested_labeled in 1.56s
2024-10-03 00:49:59 [INFO] - Test 17 | PASSED | FAILED: copy_custom_used_after in 1.29s
2024-10-03 00:50:00 [INFO] - Test 18 | PASSED | FAILED: copy_used_after in 1.37s
2024-10-03 00:50:02 [INFO] - Test 19 | PASSED | PASSED: does_not_add_extra_whitespace in 1.68s
