2024-10-03 00:32:25 [INFO] - Application Started
2024-10-03 00:32:25 [INFO] - Running 'test' subcommand
2024-10-03 00:32:25 [INFO] - Verbose: yes
2024-10-03 00:32:25 [INFO] - Starting tests...
2024-10-03 00:32:26 [INFO] - Test 1 | PASSED | PASSED: argument_and_locals in 1.26s
2024-10-03 00:32:27 [INFO] - Test 2 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_form_expr in 1.17s
2024-10-03 00:32:29 [INFO] - Test 3 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: argument_used_twice_form_expr in 1.15s
2024-10-03 00:32:30 [INFO] - Test 4 | PASSED | PASSED: break_from_nested_and_outer_loops in 1.22s
2024-10-03 00:32:31 [INFO] - Test 5 | PASSED | PASSED: break_from_nested_loop in 1.23s
2024-10-03 00:32:32 [INFO] - Test 6 | PASSED | FAILED: break_loop in 1.32s
2024-10-03 00:32:34 [INFO] - Test 7 | PASSED | FAILED: break_loop_nested in 1.23s
2024-10-03 00:32:35 [INFO] - Test 8 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: break_loop_nested_labeled in 1.26s
2024-10-03 00:32:36 [INFO] - Test 9 | PASSED | FAILED: break_loop_with_if in 1.20s
2024-10-03 00:32:37 [INFO] - Test 10 | PASSED | PASSED: break_stmt in 1.24s
2024-10-03 00:32:38 [INFO] - Test 11 | PASSED | PASSED: break_with_value in 1.18s
2024-10-03 00:32:40 [INFO] - Test 12 | PASSED | PASSED: break_with_value_and_label in 1.19s
2024-10-03 00:32:41 [INFO] - Test 13 | PASSED | FAILED: break_with_value_and_return in 1.23s
2024-10-03 00:32:42 [INFO] - Test 14 | PASSED | FAILED: closure_arguments in 1.21s
2024-10-03 00:32:43 [INFO] - Test 15 | PASSED | FAILED: comments_in_block_expr in 1.28s
2024-10-03 00:32:45 [INFO] - Test 16 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 58..71, source_change: None, command: None }] | N/A: continue_loop_nested_labeled in 1.35s
2024-10-03 00:32:46 [INFO] - Test 17 | PASSED | FAILED: copy_custom_used_after in 1.32s
2024-10-03 00:32:47 [INFO] - Test 18 | PASSED | FAILED: copy_used_after in 1.16s
2024-10-03 00:32:49 [INFO] - Test 19 | PASSED | PASSED: does_not_add_extra_whitespace in 1.27s
2024-10-03 00:32:50 [INFO] - Test 20 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 26..43, source_change: None, command: None }] | N/A: does_not_import_control_flow in 1.12s
2024-10-03 00:32:51 [INFO] - Test 21 | PASSED | FAILED: dont_emit_type_with_hidden_lifetime_parameter in 1.12s
2024-10-03 00:32:52 [INFO] - Test 22 | PASSED | FAILED: empty_generic_param_list in 1.17s
2024-10-03 00:32:53 [INFO] - Test 23 | PASSED | PASSED: extract_cast in 1.12s
2024-10-03 00:32:54 [INFO] - Test 24 | PASSED | PASSED: extract_does_not_tear_body_apart in 1.16s
2024-10-03 00:32:55 [INFO] - Test 25 | PASSED | PASSED: extract_does_not_tear_comments_apart in 1.15s
2024-10-03 00:32:57 [INFO] - Test 26 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 35..61, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 60..97, source_change: None, command: None }] | N/A: extract_does_not_wrap_res_in_res in 1.19s
2024-10-03 00:32:58 [INFO] - Test 27 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 67..71, source_change: None, command: None }] | N/A: extract_from_nested in 1.14s
2024-10-03 00:32:59 [INFO] - Test 28 | PASSED | PASSED: extract_function_copies_comment_at_end in 1.23s
2024-10-03 00:33:00 [INFO] - Test 29 | PASSED | PASSED: extract_function_copies_comment_at_start in 1.21s
2024-10-03 00:33:01 [INFO] - Test 30 | PASSED | FAILED: extract_function_copies_comment_in_between in 1.15s
2024-10-03 00:33:03 [INFO] - Test 31 | PASSED | PASSED: extract_function_copies_comment_indented in 1.20s
2024-10-03 00:33:04 [INFO] - Test 32 | PASSED | PASSED: extract_function_does_preserve_whitespace in 1.20s
2024-10-03 00:33:05 [INFO] - Test 33 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_function_from_trait_with_existing_non_empty_impl_block in 1.18s
2024-10-03 00:33:06 [INFO] - Test 34 | PASSED | PASSED: extract_function_long_form_comment in 1.16s
2024-10-03 00:33:07 [INFO] - Test 35 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A: extract_method_from_trait_impl in 1.16s
2024-10-03 00:33:09 [INFO] - Test 36 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 166..176, source_change: None, command: None }] | N/A: extract_method_from_trait_with_existing_non_empty_impl_block in 1.24s
2024-10-03 00:33:10 [INFO] - Test 37 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 280..289, source_change: None, command: None }, Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 301..311, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_impl_blocks in 1.20s
2024-10-03 00:33:11 [INFO] - Test 38 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 441..451, source_change: None, command: None }, Assist { id: AssistId("extract_module", RefactorExtract), label: "Extract Module", group: None, target: 412..422, source_change: None, command: None }] | N/A: extract_method_from_trait_with_multiple_existing_trait_impl_blocks in 1.13s
2024-10-03 00:33:12 [INFO] - Test 39 | FAILED: No Extract Function Assist found for the given selection of assists [Assist { id: AssistId("extract_variable", RefactorExtract), label: "Extract into variable", group: None, target: 123..129, source_change: None, command: None }] | N/A: extract_mut_ref_param_has_no_mut_binding_in_loop in 1.11s
2024-10-03 00:33:13 [INFO] - Test 40 | PASSED | PASSED: extract_partial_block in 1.20s
2024-10-03 00:33:14 [INFO] - Test 41 | PASSED | PASSED: extract_partial_block_single_line in 1.19s
2024-10-03 00:33:16 [INFO] - Test 42 | PASSED | PASSED: extract_return_stmt in 1.14s
