2024-10-03 02:10:26 [INFO] - Application Started
2024-10-03 02:10:26 [INFO] - Running 'test' subcommand
2024-10-03 02:10:26 [INFO] - Verbose: yes
2024-10-03 02:10:26 [INFO] - Starting tests...
2024-10-03 02:10:28 [INFO] - Test 1 | PASSED | PASSED | PASSED: argument_and_locals in 1.29s
2024-10-03 02:10:29 [INFO] - Test 2 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A | N/A: argument_form_expr in 1.16s
2024-10-03 02:10:30 [INFO] - Test 3 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A | N/A: argument_used_twice_form_expr in 1.23s
2024-10-03 02:10:31 [INFO] - Test 4 | PASSED | PASSED | PASSED: break_from_nested_and_outer_loops in 1.19s
2024-10-03 02:10:33 [INFO] - Test 5 | PASSED | PASSED | PASSED: break_from_nested_loop in 1.18s
2024-10-03 02:10:34 [INFO] - Test 6 | PASSED | PASSED | PASSED: break_loop in 1.27s
2024-10-03 02:10:36 [INFO] - Test 7 | PASSED | PASSED | PASSED: break_loop_nested in 1.25s
2024-10-03 02:10:37 [INFO] - Test 8 | FAILED: No Extract Function Assist found for the given selection of assists [] | N/A | N/A: break_loop_nested_labeled in 1.31s
2024-10-03 02:10:38 [INFO] - Test 9 | PASSED | PASSED | PASSED: break_loop_with_if in 1.28s
2024-10-03 02:10:40 [INFO] - Test 10 | PASSED | PASSED | FAILED: break_stmt in 1.28s
2024-10-03 02:10:41 [INFO] - Test 11 | PASSED | PASSED | PASSED: break_with_value in 1.20s
2024-10-03 02:10:43 [INFO] - Test 12 | PASSED | PASSED | PASSED: break_with_value_and_label in 1.18s
2024-10-03 02:10:44 [INFO] - Test 13 | PASSED | FAILED | PASSED: break_with_value_and_return in 1.28s
2024-10-03 02:10:45 [INFO] - Test 14 | PASSED | FAILED | FAILED: closure_arguments in 1.19s
2024-10-03 02:10:47 [INFO] - Test 15 | PASSED | FAILED | PASSED: comments_in_block_expr in 1.18s
2024-10-03 02:10:48 [INFO] - Test 16 | PASSED | FAILED | FAILED: continue_loop_nested_labeled in 1.26s
2024-10-03 02:10:49 [INFO] - Test 17 | PASSED | FAILED | PASSED: copy_custom_used_after in 1.22s
2024-10-03 02:10:51 [INFO] - Test 18 | PASSED | FAILED | PASSED: copy_used_after in 1.25s
